"PLAYERS","DFG","BOT                               ENT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               RFA                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Eric Nilson                                A","F","ENT","ANA","20","$0.0","0","0","0.0"
"Drew Schock                                A","D","ENT","ANA","20","$0.0","0","0","0.0"
"Tarin Smith                                A","D","ENT","ANA","21","$0.0","0","0","0.0"
"Darels Uljanskis                                A","D","ENT","ANA","21","$0.0","0","0","0.0"
"Lasse Boelius                                A","D","ENT","ANA","20","$0.0","0","0","0.0"
"Artyom Galimov                                3","F","UFA","ANA","28","$0.0","0","0","0.0"
"Elijah Neuenschwander                                A","G","ENT","ANA","20","$0.0","0","0","0.0"
"Gleb Peshkov                                A","G","ENT","ANA","19","$0.0","0","0","0.0"
"Michael DiPietro                                F","G","BOT","BOS","28","$0.5","1","0","0.0"
"Attilio Biasca                                3","F","UFA","BOS","24","$0.0","0","0","0.0"
"Frederic Brunet                                3","D","UFA","BOS","24","$0.0","0","0","0.0"
"Luke Cavallin                                3","G","UFA","BOS","26","$0.0","0","0","0.0"
"Riley Duran                                3","F","UFA","BOS","25","$0.0","0","0","0.0"
"Maxence Guenette                                3","D","UFA","BOS","26","$0.0","0","0","0.0"
"Loke Johansson                                A","D","ENT","BOS","21","$0.0","0","0","0.0"
"Dans Locmelis                                A","F","ENT","BOS","23","$0.0","0","0","0.0"
"Max Lundgren                                3","G","UFA","BOS","25","$0.0","0","0","0.0"
"Navrin Mutter                                3","F","UFA","BOS","26","$0.0","0","0","0.0"
"Jiri Patera                                3","G","UFA","BOS","28","$0.0","1","0","0.0"
"Billy Sweezey                                3","D","UFA","BOS","31","$0.0","0","0","0.0"
"Kalle Vaisanen                                3","F","UFA","BOS","24","$0.0","0","0","0.0"
"Simon Zajicek                                3","G","UFA","BOS","26","$0.0","0","0","0.0"
"Cole Chandler                                A","F","ENT","BOS","20","$0.0","0","0","0.0"
"Vashek Blanar                                A","D","ENT","BOS","20","$0.0","0","0","0.0"
"Elliott Groenewold                                A","D","ENT","BOS","21","$0.0","0","0","0.0"
"Beckett Hendrickson                                A","F","ENT","BOS","22","$0.0","0","0","0.0"
"Roberto Henriquez                                A","G","ENT","BOS","20","$0.0","0","0","0.0"
"Kristian Kostadinski                                A","D","ENT","BOS","22","$0.0","0","0","0.0"
"Dean Letourneau                                A","F","ENT","BOS","21","$0.0","0","0","0.0"
"Cullen McCrate                                A","D","ENT","BOS","20","$0.0","0","0","0.0"
"William Moore                                A","F","ENT","BOS","20","$0.0","0","0","0.0"
"Jonathan Morello                                A","F","ENT","BOS","21","$0.0","0","0","0.0"
"Casper Nassen                                A","F","ENT","BOS","23","$0.0","0","0","0.0"
"Christopher Pelosi                                A","F","ENT","BOS","22","$0.0","0","0","0.0"
"Cooper Simpson                                A","F","ENT","BOS","20","$0.0","0","0","0.0"
"Cole Spicer                                A","F","ENT","BOS","23","$0.0","0","0","0.0"
"Philip Svedeback                                3","G","UFA","BOS","25","$0.0","0","0","0.0"
"Ryan Walsh                                3","F","UFA","BOS","24","$0.0","0","0","0.0"
"Will Zellers                                A","F","ENT","BOS","21","$0.0","0","0","0.0"
"Nils Bartholdsson                                A","F","ENT","BOS","19","$0.0","0","0","0.0"
"Roman Bychkov                                3","D","UFA","BOS","26","$0.0","0","0","0.0"
"Yuri Ivanov                                A","G","ENT","BOS","19","$0.0","0","0","0.0"
"Matvei Kotkov                                A","F","ENT","BOS","19","$0.0","0","0","0.0"
"Oscar Olsson                                A","F","ENT","BOS","19","$0.0","0","0","0.0"
"Liam Pettersson                                A","D","ENT","BOS","20","$0.0","0","0","0.0"
"Kirill Yemelyanov                                A","F","ENT","BOS","20","$0.0","0","0","0.0"
"Justin Danforth                                3","F","UFA","BUF","34","$0.0","4","0","0.0"
"Riley Fiddler-Schultz                                3","F","UFA","BUF","25","$0.0","0","0","0.0"
"Zac Funk                                3","F","UFA","BUF","24","$0.0","0","0","0.0"
"Mason Geertsen                                3","F","UFA","BUF","32","$0.0","5","0","0.0"
"Ryan Johnson                                3","D","UFA","BUF","26","$0.0","3","0","0.0"
"Vsevolod Komarov                                A","D","ENT","BUF","23","$0.0","0","0","0.0"
"Trevor Kuntar                                3","F","UFA","BUF","26","$0.0","1","0","0.0"
"Topias Leinonen                                A","G","ENT","BUF","23","$0.0","0","0","0.0"
"Gavin McCarthy                                A","D","ENT","BUF","22","$0.0","0","0","0.0"
"Aidan McDonough                                3","F","UFA","BUF","27","$0.0","0","0","0.0"
"Carson Meyer                                3","F","UFA","BUF","30","$0.0","0","0","0.0"
"Radim Mrtka                                A","D","LGN","BUF","20","$0.5","0","0","0.0"
"Jason Polin                                3","F","UFA","BUF","28","$0.0","4","0","0.0"
"Jack Rathbone                                3","D","UFA","BUF","28","$0.0","0","0","0.0"
"Scott Ratzlaff                                A","G","ENT","BUF","22","$0.0","0","0","0.0"
"Jake Richard                                A","F","ENT","BUF","23","$0.0","0","0","0.0"
"Maxim Strbak                                A","D","ENT","BUF","22","$0.0","0","0","0.0"
"Matt Villalta                                3","G","UFA","BUF","28","$0.0","0","0","0.0"
"David Bedkowski                                A","D","ENT","BUF","20","$0.0","0","0","0.0"
"Dylan Dumont                                A","F","ENT","BUF","19","$0.0","0","0","0.0"
"Samuel Meloche                                A","G","ENT","BUF","20","$0.0","0","0","0.0"
"Olivers Murnieks                                A","F","ENT","BUF","19","$0.0","0","0","0.0"
"Doman Szongoth                                A","F","ENT","BUF","19","$0.0","0","0","0.0"
"Simon-Pier Brunet                                A","D","ENT","BUF","21","$0.0","0","0","0.0"
"Patrick Geary                                A","D","ENT","BUF","23","$0.0","0","0","0.0"
"Sean Keohane                                A","D","ENT","BUF","22","$0.0","0","0","0.0"
"Adam Kleber                                A","D","ENT","BUF","21","$0.0","0","0","0.0"
"Matous Jan Kucharcik                                A","F","ENT","BUF","20","$0.0","0","0","0.0"
"Noah Laberge                                A","D","ENT","BUF","20","$0.0","0","0","0.0"
"Ilia Morozov                                A","F","ENT","BUF","19","$0.0","0","0","0.0"
"Melvin Novotny                                A","F","ENT","BUF","20","$0.0","0","0","0.0"
"Luke Osburn                                A","D","ENT","BUF","21","$0.0","0","0","0.0"
"Ryan Rucinski                                A","F","ENT","BUF","20","$0.0","0","0","0.0"
"Daxon Rudolph                                A","D","ENT","BUF","19","$0.0","0","0","0.0"
"Ashton Schultz                                A","F","ENT","BUF","20","$0.0","0","0","0.0"
"Vasily Zelenov                                A","F","ENT","BUF","21","$0.0","0","0","0.0"
"Brodie Ziemer                                A","F","ENT","BUF","21","$0.0","0","0","0.0"
"Norwin Panocha                                A","D","ENT","BUF","22","$0.0","0","0","0.0"
"Prokhor Poltapov                                3","F","UFA","BUF","24","$0.0","0","0","0.0"
"Yevgeni Prokhorov                                A","G","ENT","BUF","20","$0.0","0","0","0.0"
"Andrew Basha                                A","F","ENT","CGY","21","$0.0","0","0","0.0"
"Jonathan Castagna                                A","F","ENT","CGY","22","$0.0","0","0","0.0"
"Andreas Englund                                3","D","UFA","CGY","31","$0.0","3","0","0.0"
"Dryden Hunt                                3","F","UFA","CGY","31","$0.0","3","0","0.0"
"Axel Hurtig                                A","D","ENT","CGY","22","$0.0","0","0","0.0"
"Rory Kerins                                3","F","UFA","CGY","25","$0.0","4","0","0.0"
"Jake Livingstone                                3","D","UFA","CGY","28","$0.0","0","0","0.0"
"Sam Morton                                3","F","UFA","CGY","28","$0.0","3","0","0.0"
"William Stromgren                                3","F","UFA","CGY","24","$0.0","3","0","0.0"
"Abram Wiebe                                3","D","UFA","CGY","24","$0.0","4","0","0.0"
"Nikita Okhotiuk                                3","D","UFA","CGY","26","$0.0","0","0","0.0"
"Chase Harrington                                A","F","ENT","CGY","19","$0.0","0","0","0.0"
"Joe Iginla                                A","F","ENT","CGY","19","$0.0","0","0","0.0"
"Simon Katolicky                                A","F","ENT","CGY","19","$0.0","0","0","0.0"
"Bode Laylin                                A","D","ENT","CGY","19","$0.0","0","0","0.0"
"Jakob Leander                                A","D","ENT","CGY","20","$0.0","0","0","0.0"
"Mace`o Phillips                                A","D","ENT","CGY","20","$0.0","0","0","0.0"
"Egor Barabanov                                A","F","ENT","CGY","21","$0.0","0","0","0.0"
"Carson Carels                                A","D","ENT","CGY","19","$0.0","0","0","0.0"
"Maxmilian Curran                                A","F","ENT","CGY","21","$0.0","0","0","0.0"
"Jack Hextall                                A","F","ENT","CGY","19","$0.0","0","0","0.0"
"Trevor Hoskin                                A","F","ENT","CGY","23","$0.0","0","0","0.0"
"Eric Jamieson                                A","D","ENT","CGY","22","$0.0","0","0","0.0"
"Aidan Lane                                A","F","ENT","CGY","20","$0.0","0","0","0.0"
"Jaden Lipinski                                A","F","ENT","CGY","22","$0.0","0","0","0.0"
"Cade Littler                                A","F","ENT","CGY","23","$0.0","0","0","0.0"
"Henry Mews                                A","D","ENT","CGY","21","$0.0","0","0","0.0"
"Luke Misa                                A","F","ENT","CGY","21","$0.0","0","0","0.0"
"Cullen Potter                                A","F","SRL","CGY","20","$0.5","0","0","0.0"
"Cole Reschny                                A","F","SHF","CGY","20","$0.5","0","0","0.0"
"Tobias Trejbal                                A","G","ENT","CGY","19","$0.0","0","0","0.0"
"Ethan Wyttenbach                                A","F","ENT","CGY","20","$0.0","0","0","0.0"
"Yegor Yegorov                                A","G","ENT","CGY","22","$0.0","0","0","0.0"
"Daniil Chechelev                                3","G","UFA","CGY","26","$0.0","0","0","0.0"
"Yan Matveiko                                A","F","ENT","CGY","21","$0.0","0","0","0.0"
"Alan Shaikhlislamov                                A","F","ENT","CGY","19","$0.0","0","0","0.0"
"Theo Stockselius                                A","F","ENT","CGY","20","$0.0","0","0","0.0"
"Kirill Zarubin                                A","G","ENT","CGY","21","$0.0","0","0","0.0"
"K`Andre Miller                                3","D","UFA","CAR","27","$0.0","0","0","0.0"
"Dominik Badinka                                A","D","ENT","CAR","21","$0.0","0","0","0.0"
"Charlie Cerrato                                A","F","ENT","CAR","22","$0.0","0","0","0.0"
"Aleksi Heimosalmi                                3","D","UFA","CAR","24","$0.0","0","0","0.0"
"Juha Jaaska                                3","F","UFA","CAR","29","$0.0","0","0","0.0"
"Ruslan Khazheyev                                A","G","ENT","CAR","22","$0.0","0","0","0.0"
"Bryce Montgomery                                3","D","UFA","CAR","24","$0.0","0","0","0.0"
"Viktor Neuchev                                A","F","ENT","CAR","23","$0.0","0","0","0.0"
"Ivan Ryabkin                                A","F","ENT","CAR","20","$0.0","0","0","0.0"
"Stiven Sardarian                                3","F","UFA","CAR","24","$0.0","0","0","0.0"
"Zach Sawchenko                                3","G","UFA","CAR","29","$0.0","0","0","0.0"
"Ronan Seeley                                3","D","UFA","CAR","25","$0.0","1","0","0.0"
"Gleb Trikozov                                A","F","ENT","CAR","23","$0.0","0","0","0.0"
